unnamed,state code,county code,site num,address,state,county,city,date local,no2 units,no2 mean,no2 1st max value,no2 1st max hour,no2 aqi,o3 units,o3 mean,o3 1st max value,o3 1st max hour,o3 aqi,so2 units,so2 mean,so2 1st max value,so2 1st max hour,so2 aqi,co units,co mean,co 1st max value,co 1st max hour,co aqi
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,10957,Parts per billion,19.041667,49.0,19,46,Parts per million,0.0225,0.04,10,34,Parts per billion,3.0,9.0,21,13.0,Parts per million,1.145833,4.2,21,
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,10957,Parts per billion,19.041667,49.0,19,46,Parts per million,0.0225,0.04,10,34,Parts per billion,3.0,9.0,21,13.0,Parts per million,0.878947,2.2,23,25.0
